INSTRUMENTO / FERRAMENTA;MODELO;P/N;S/N;IDENTIF. SOD.;IDENTIF. OFICINA;CERTIFICADO;DATA DE CALIBRA��O;DATA DE VENCIMENTO;SITUA��O;EXECUTANTE;INSTALADA NO EQUIPAMENTO?;LOCAL;SUB.LOCALIZA��O;FOTO;MECANICO;CERTIFICADO_PDF
LAMINA DE FOLGA;40802;SOD1.0505;N/C;030-205-00056;;9206/24;26/09/2024;26/09/2025;VENCIDO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;
AIR DATA TEST - PITOT STATIC;ADTS 505;ADTS 505;50500683;030-205-00019;CGH3.0100;10974/24;05/06/2024;05/06/2025;VENCIDO;STARTLAB;N/A;PISO 0 ESTANTE 04;ESTANTE 05;;;
AIR DATA-LAVERSAB;;;;;;;;;;;;;FERRAMENTARIA;;;
AVX-10 -CONJUTO DE TESTE VOO;N/C;AVX-10K;1000000548;030-205-001120;CGH3.2447;7688/24;21/08/2024;21/08/2025;VENCIDO;STARTLAB;N/A;PISO;FERRAMENTARIA;;;
BALANÇA  DIGITAL  FIXA 50KG;RAMUZA;SOD1.3243;25.898.065-5;030-205-00099;;5916/25;26/06/2025;26/06/2026;CALIBRADO;STARTLAB;N/C;ARMARIO 1;PRATELEIRA 5;;;
BALANÇA DE PESAGEM AVIAÇÃO;6732C;6732C;607400-04;030-205-00109;CH3.0102;7896/24;29/08/2024;29/08/2025;VENCIDO;STARTLAB;CHÃO;PISO;FERRAMENTARIA;;;
BALANÇA DIGITAL  2kg;I-12000;15571;N/A;030-205-00043;;5917/25;26/06/2025;26/06/2026;CALIBRADO;STARTLAB;N/C;ARMARIO 1;PRATELEIRA 3;;;
BALANÇA DIGITAL 0 A 110KG;ACCU-CHARGE2;98210-A;N/C;030-205-00783;;9076/2024;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;N/C;ARMARIO 1;PRATELEIRA 3;;;
BALANÇA DIGITAL 15KG;PRIX;9094;11921590;SOD1.0015;;262676/24;09/09/2025;09/09/2026;CALIBRADO;MEDIÇÃO;N/A;SUPRIMENTOS;CHÃO;;;
BALANÇA DIGITAL 320 gramas;HH320;N/C;1978;030-205-00096;;5915/25;26/06/2025;26/06/2026;CALIBRADO;STARLAB;N/C;ARMARIO 1;PRATELEIRA 3;;;
BALANCEADOR DE HELICE;ACES;10-100-2020HR;50942;030-205-00110;CGH3.0101;5871/25;18/06/2025;18/06/2026;CALIBRADO;STARTLAB;N/A;ESTANTE 6;PRATELEIRA 3;;;
BALANCEADOR HELICE VIBREX 2000;VIBREX 2000;901-13590-3;1300;030-205-00018;CGH.2329;5870/25;18/06/2025;18/06/2026;CALIBRADO;STARTLAB;N/A;PISO 0 ESTANTE 04;ESTANTE 05;;;
LAMINA DE FOLGA;40801;SOD1.0507;N/C;030-205-00057;;8670/24;12/09/2024;12/09/2025;VENCIDO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;
LAMINA DE FOLGA;40816;SOD1.0566;N/C;030-205-00059;;8677/24;09/09/2024;09/09/2025;VENCIDO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;
LAMINA DE FOLGA;40818;SOD1.0565;N/C;030-205-00058;;8678/24;09/09/2024;09/09/2025;VENCIDO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 2;;;
LAMINA DE FOLGA;N230;;;030-205-001028;;7318/25;04/08/2025;04/08/2026;CALIBRADO;;N/A;ARMARIO 1;PRATELEIRA 2;;;
LAMINA DE FOLGA;0,05-11.00mm;;N/A;030-205-001029;;7320/25;01/08/2025;01/08/2026;CALIBRADO;;;ARMARIO 1;PRATELEIRA 2;;;
CALIBRE DE FOLGA;N/C;SOD1.0506;N/C;030-205-00085;;6586/25;10/07/2025;10/07/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 2;;;
LAMINA DE FOLGA;78221;;N/A;030-205-001030;;7322/25;04/08/2025;04/08/2026;CALIBRADO;;N/A;ARMARIO 1;PRATELEIRA 2;;;
CALIBRE DE ROSCA;1423;;;030-205-001013;;7325/25;04/08/2025;04/08/2026;CALIBRADO;;N/A;ARMARIO 1;PRATELEIRA 2;;;
LAMINA DE FOLGA;;;;030-205-00085;;6586/25;10/07/2025;10/07/2026;CALIBRADO;;;ARMARIO 1;PRATELEIRA 2;;;
CAPACIMETRO;MC-154A;;21N05601447;030-205-00779;;7299/25;01/08/2025;01/08/2026;CALIBRADO;STARLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;
DATA LOGGER;LOGBOX-RHT-LCD;LOGBOX-RHT-LCD;11007189;CGH3.0131;;7298/25;01/08/2025;01/08/2026;CALIBRADO;STARTLAB;CAMARA ESCURA;PAREDE;SUPRIMENTOS;;;
DENSIMETRO;;;;;;;;;;;;;PRATELEIRA 3;;;
DINAMÔMETRO 0-20kg;AT-20;AT02651;N/C;033-205-00014;CGH3.2321;6735/25;15/07/2025;15/07/2026;CALIBRADO;STARLAB;N/C;ARMARIO 1;PRATELEIRA 1;;;
DINAMÔMETRO 0-500N DIGITAL;ZMF-500;N/A;VERIFICAR;030-205-00042;;6587/225;10/07/2025;10/07/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 1;;;
DINAMÔMETRO 0-50kg;N/C;SOD1.3227;N/C;030-205-00006;;10828/24;22/11/2024;22/11/2025;CALIBRAR;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 1;;;
DINAMÔMETRO 10kg;NK-100;SOD1.3226;N/C;030-205-00003;;80/76/24;05/09/2024;05/09/2025;VENCIDO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 1;;;
FONTE DE BANCADA 0-30 vdc-20a max;;;;;;;;;VENCIDO;;;;PRATELEIRA 3;;;
